YR,MON,TOTAL,ClimAdjust,ANOM
2016,05,28.24,27.85,0.39
2016,06,27.7,27.65,0.05
2016,07,26.82,27.26,-0.44
2016,08,26.28,26.91,-0.63
2016,09,26.15,26.8,-0.65
2016,10,25.98,26.75,-0.78
2016,11,25.95,26.75,-0.8
2016,12,26.1,26.65,-0.55
2017,01,26.12,26.45,-0.33
2017,02,26.68,26.66,0.02
2017,03,27.33,27.21,0.12
2017,04,28.04,27.73,0.3
2017,05,28.3,27.85,0.45
2017,06,28.06,27.65,0.41
2017,07,27.54,27.26,0.28
2017,08,26.7,26.91,-0.21
2017,09,26.29,26.8,-0.51
2017,10,26.15,26.75,-0.6
2017,11,25.74,26.75,-1.01
2017,12,25.62,26.65,-1.04
2018,01,25.57,26.45,-0.88
2018,02,25.98,26.66,-0.68
2018,03,26.5,27.21,-0.71
2018,04,27.32,27.73,-0.41
2018,05,27.74,27.85,-0.11
2018,06,27.77,27.65,0.12
2018,07,27.42,27.26,0.16
2018,08,26.95,26.91,0.04
2018,09,27.19,26.8,0.39
2018,10,27.62,26.75,0.86
2018,11,27.61,26.75,0.86
2018,12,27.49,26.65,0.84
